c_text	c_thembez	c_tatsache	c_meinung	c_begruend	c_loes	c_zusw	c_frage	c_anrede	c_respekt	c_beznutzer	c_bezmedium	c_bezinhalt	c_bezpers	c_bezform	c_story	c_schrei	c_vulg	c_beleid	c_sarkzy	c_diskrim	c_luegenv	c_droh	c_gewalr	c_verwünsch	c_quali
Hach wie lustig.... Wer wurde diesmal eingeschleust? Wer ist dafür verantwortlich? Fragen über Fragen...	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0
Sandra Schiller hoffen wir mal 🙏	1	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0
Steffi Starke Christiane Pahlke 👆🏼	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
und wenn man sieht wo die Maske hängt ( unter der Nase/Kinn)...oder wie sie immer wieder mit versifften Händen befummelt wird......	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Sandra Ankenbrand ja die diskutieren auch in 20 Jahren noch. Nur Deutschland soll abliefern, und einen hohen Preis dafür bezahlen	3	0	3	0	0	0	0	0	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Eher nicht, noch zu unerforscht das Ganze 😳	3	0	3	3	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4
Niko Couvaras,was hat er denn böses getan? Etwa noch keinen Krieg angezettelt?	2	3	3	0	0	0	2	0	0	3	0	2	0	0	0	0	0	0	3	0	0	0	0	0	1
Lo Re das stimmt nicht - sie haben es nicht vergessen zu erwähnen... Freie Medien 😉	2	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0
Ich würde mal gerne wissen, auf welchem Planeten die Politiker leben🤔.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Und trotzdem jammern die Quarkdenker	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
Lothar Sp richtig - aber der Mensch vergisst so schnell.	0	3	0	0	0	0	0	0	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Die jetzigen Zahlen bei uns entstehen durch die Massentests. Am Anfang spiegelten die Zahlen Infizierte mit Krankheitssymptomen dar. Da gab es kaum Tests.	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Würde mir nie in den Sinn kommen .	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
Ja...Wir werden hin gehen 🖒	3	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
"Jo Müller es wird viel ""gewollt"" (aber nur wenn es nicht einschränkt) https://www.morgenpost.de/politik/article213215847/Junge-Deutsche-wollen-nachhaltig-leben-tun-aber-wenig-dafuer.html"	3	3	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Hallo Jasmin, warum hast du dich in diesem Jahr für die Grippeimpfung entschieden? Hat es was mit Corona zu tun?	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
"Isa We, könntest du uns denn auch noch erschwurbeln, wie das passieren wird? Und was wird sein, wenn wir morgen alle aufwachen, und ""unsere Grundgesetze"" (wir haben mehrere???) sind noch da? Kommst du dann zurück und sagst uns: ""Da hab ich wohl mal wieder Unsinn geredet. Überlest meinen Quatsch bitte zukünftig""?"	0	0	1	0	0	0	0	0	0	3	0	3	1	0	0	3	0	1	3	0	2	0	0	0	1
Alex Ebert die Probanden mussten unterschreiben, keine Kinder zu zeugen. Warum nur...	3	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	0	1
ZDF heute da ich in der Tagesbetreuung arbeite, also nur im Haus selbst, 1 mal wöchentlich..wie oft unsere ambulanten Pflegekräfte getestet werden, weiß ich jetzt nicht	3	1	0	3	0	0	0	0	0	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	3
Die Sterbehilfe muss rechtlich verankert werden....keiner darf einem anderen das Recht auf Sterbehilfe absprechen....wer sterbenden die Hand gehalten hat weiss das es notwendig ist.	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Wieviele sind denn von den 1500 positiv getesteten bei Tönnies gestorben?	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Partypeoples sind keine bestimmte Altersgruppe, es sind eben nur Menschen mit Hummeln im Hintern und einer großen Portion Egoismus. Es gibt mindestens genauso viele junge Menschen mit Vernunft, wie es auch unvernünftige Senioren gibt.	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
Kerstin Werther ❤❤	3	0	0	0	0	0	0	0	1	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1
Wird der weihnachtsmann auch getestet ggg	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Das man Hochzeit während per Pandemie feiert, ok, kann ich zwar nicht ganz nachvollziehen, aber jedem das seine. Aber warum muss man auch noch ne verlobungsparty mit mindestens 170 Leuten schmeißen? Klar vielen fehlt es zu feiern etc. Aber durch solche Egoisten, müssen Läden schließen, Leute werden in den Ruin getrieben und die sehen keinen Schadensersatz von den Verursachern.	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
Enomis Ginroh falls es nicht aufgefallen sein sollte. Herr Lauterbach ist nicht für Schulen zuständig. Er hat lediglich die Möglichkeit mobiler Lüftungsanlagen ins Gespräch gebracht. Was ist daran falsch? Wären erneute Schulschließungen lieber? Wohl kaum	3	3	3	0	0	2	0	0	0	3	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2
Recherchiert vernünftig und hört auf mit diesem haltlosen DRK-Bashing. 🤦🏻‍♂️ aus einem Fall, in einer Stadt so eine Schlagzeile aufzupusten. Schlimmer als die BILD. 	2	3	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	2
Dieses Teil ist eine zumuten. Und sowas von Unverschämtheit von unserer Regierung. Behandeln uns wie Kinder 😡	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Johanna Alfons Zierkuebel. Nein, es ist die Realität, dass werden Trolle wie du auch akzeptieren müssen. Was soll noch geschehen? Wo will Trump jetzt Klagen, bei der galaktischen Föderation?	1	1	3	0	0	0	0	0	0	3	0	3	2	0	0	0	0	1	3	0	2	0	0	0	2
Ich finde grundsätzlich nichts verwerflich daran innerhalb von Deutschland Urlaub zu machen... Solange man sich einfach an die notwendigen Regeln hält ist alles in Ordnung. Mund Nase Schutz beim Einkaufen und abstand halten...	3	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Weg mit der AfD! Die meisten Demoläppchen sind AfD Anhänger und machen nur Ärger.	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	2	0	0	0	3	1
Mir wäre lieber, Ziele würden erreicht. Immer wieder neue und höher gesteckte Ziele, die dann keiner erreicht und was auch am bitteren Ende keinen interessiert sind doch wertlos.	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ostern bis Juni?😀🥳😎😇	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
Patrick Geisler - das ZDF sollte sich natürlich höchstpersönlich bei Ihnen entschuldigen, dass die Macher dieser internationalen Studie diese Region mit den anderen zusammen betrachtet haben.	3	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	0	2
Peter Müller auf den Punkt gebracht 😂👍	3	0	3	0	0	0	0	0	2	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2
Sollen froh sein das sie noch einen Job haben, die können nicht mal mehr für 5 Cent denken....	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0
Von McCain ist Trump Lichtjahre entfernt!	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
wird auch in Coronazeiten in den Heimen das Pflegepersonal immer noch rollierend , d.h. jede Woche in eine andere Wohngruppe eingeteilt?	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Ist doch egal was er trägt. Hauptsache er macht sein Job als Trainer gut. Darauf kommt es an.	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Schon wieder Lauterbach...	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ein Beispiel für klimafreundlichen Verkehr: Moskau hat 400 neue Elektrobusse gekauft und 140 neue Metrostationen gebaut, damit ist Moskau die klimafreundlichste Stadt Europas. 😍	3	3	1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Deiuliis Mimmo der ist gut 	0	0	3	0	0	0	0	0	2	3	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1
Uwe Bentlage sorry aber auch deutsche Männer üben Gewalt gegen Frauen aus.hat nicht unbedingt mit Integration zutun.sondern mit dem Charakter eines mannes	3	3	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Dirk Schwe: Die BRD gibt es nicht mehr. Das heißt seit der Wiedervereinigung Deutschland.	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Nicht impfen lassen . Es gibt Schlimmeres als den Coronaquatsch.	3	0	3	3	1	0	0	0	0	3	0	3	0	0	0	0	1	0	3	0	1	0	0	0	1
Dann muss er auch selbst Verantwortung für sein Handeln übernehmen.	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Leonard Schenker Da müssen Sie sich bei Ferdinand von Schirach beschweren...	3	0	3	0	1	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
"Für die, die mit allem einverstanden sind was Corona bedingt hier so Läuft. 
Weil ja ach so solidarisch.
Hoffe ihr seit auch alle Blutspender , Organspender, Plasmaspender und bei der DKMS gemeldet.
Helft bei der Tafel, organisiert was für arme Menschen oder sonst irgend was solidarisches.
"	3	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0
Ich sag mal nur Karma Baby	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2
Richtig! Genau solche harten Urteile möchte ich dann aber auch AB SOFORT gegen Linksradikale und ISlamisten haben! Wieso ist das immer noch nicht bisher passiert? Angst oder geschmierte Richter? Auch IS-Gefährder, Terroristen, Steinewerfer, Messerstecher, Strassenschläger usw., usw. sollten nicht weiter in der Öffentlichkeit frei herumlaufen dürfen!	2	0	3	0	1	1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	2
Ich hätte 2 Fragen an die Experten: 1. Viele Menschen sind durch die Schweine-Grippe Impfung dauerhaft krank geworden. Kann man das jetzt ausschließen ? 2. Warum war für Politiker damals ein anderer Impfstoff vorgesehen als für die Bevölkerung ? Danke	2	3	1	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Das ist bemerkenswert! Chapeau!	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Ach morgen werde ich erst mal eine Runde in meinem stinkenden lauten Abarth Cabrio drehen und danach schön ein Mettbrot essen .	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
Genderstern ist laut Duden unzulässig!	0	3	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Die Massentestung in Österreich hat bislang ergeben, dass weniger als 0,5% der Bevölkerung infiziert sind. Eine marginale Anzahl. Warum wird in deutschen Hetzmedien darüber nicht berichtet? Passt euch das nicht ins Programm?	3	3	3	0	0	2	1	0	0	0	2	0	0	0	0	0	2	2	3	0	3	0	0	0	0
Lilian Erkenswick die ewige Leier😕 die Anderen, Anderen, Anderen, Anderen 🙁 Gott wie einfältig muss man eigentlich sein um über Monaten immer den gleichen Müll zu verbreiten, ist wohl ein Ergebnis von den Stillstanddenkerklientel😁	1	0	3	1	0	0	0	0	0	3	0	3	0	0	0	0	2	1	2	0	0	0	0	0	1
Ralf Latotzke ...unter Trump, wie unter Obama haben die USA in 7 Ländern Krieg geführt.	1	3	0	0	0	2	0	0	0	3	0	3	0	0	0	0	0	0	0	0	1	0	0	0	3
Blödsinn!!	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1
Eine Politik für Deutschland wäre angebracht, nicht für die ganze Welt... 😡	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Simone Yamaji-Ditzler alle Finanziert durch unsere Steuergelder. Und zum wohle des Co2 Ausstoß	0	3	1	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	2	0	0	0	0	0
Die Gerichte kippen gerade reihenweise die „dummen“ Beschlüsse der Politiker und auch Patienten und deren Besucher können gegen die fragwürdigen Entscheidungen der systemrelevanten Krankenhäuser juristisch vorgehen.	3	3	3	0	1	1	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1
Wir üben schon mal die Corona Welle 🤣🤣	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1
Wenn ihn erst die BILD auf dem Zettel hat, wird's erst unangenehm,  schade!	3	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Also mir is das mit das mit den Millionen Punkten viel zu anstrengend zu lesen. 🙄🤣 Ich versteh den Sinn auch nicht was anders sein soll ob gesplittet oder nicht. Ich hätte diese 300 Euro garnicht ausbezahlt sondern als Gutscheine verteilt für kleidungsgeschäft oder Schulzeug oder sowas. 😎	2	0	3	0	2	0	0	0	0	3	0	3	0	3	0	1	0	0	3	0	0	0	0	0	1
Ich hab auch Spiele abzugeben. Bitte schreibt mal den Namen oder eine kontaktadresse	3	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Heiko Gränz mich interessiert das anmaßende Gesabbel ungebildeter Rechtsextremer übrigens nicht.	0	0	3	0	0	0	0	0	0	3	0	2	3	0	0	0	0	2	3	0	0	0	0	0	1
Liebe Userinnen und User, unsere Studie mit der Uni Düsseldorf geht in die dritte und vorletzte Runde! Wir würden gerne wieder von euch wissen, wie zufrieden ihr mit unserer Facebook-Seite und dem Community Management seid und was ihr verbessern würdet. Deshalb wollen wir euch noch bis Ende Oktober regelmäßig nach eurer Meinung fragen. Wir würden uns sehr freuen, wenn ihr euch 10 Minuten Zeit nehmt und mitmacht. Hier geht’s zur Umfrage: https://www1.wdr.de/fernsehen/lokalzeit/ruhr/facebook-umfrage-lokalzeit-ruhr-102.html	0	3	0	3	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Weil Deutschland nur noch balla balla ist, leider. Ich habe etwas gelesen, dass es wieder mit dem dritten Reich zu tun haben soll. Ob es stimmt, weiss ich nicht. Für mich bleibt es Weißrussland, genauso wie die Elfenbeinküste. Diese wird ja auch gern jetzt immer öfter als cote d'ivoire bezeichnet.	0	2	3	0	0	1	0	0	0	2	0	3	0	0	1	0	0	0	3	1	0	0	0	0	0
Na Di Abiball, Weltreise usw. sind auch Leben.	3	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Wie kann man so ignorant sein und so dumm sein ?? Ich weiß die Antwort Nix in der Birne 😡😡😡😡 Was versteht der nicht	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	3	0	0	0	0	0	1
Leander Jung von der Caritas habe ich auch schon üble Sachen gehört. Aber da es ein christlicher Verein ist, denken die Leute immer, die wären auch christlich! Aber gerade die, die sich als das ausgeben, sind die unchristlichsten überhaupt!	2	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	0	2
Ist bestimmt in 2 Jahren immer noch 15 Jahre jung 😜	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Stefan Harder immer politisch Korrekt verstehst Du😉😉	0	0	3	1	0	0	0	0	0	3	0	3	0	0	0	1	0	0	3	0	0	0	0	0	1
"Der schwarz rot ""Goldene Schuss!"""	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0
Treten Sie zurück..dann gibt es keine Katastrophe mehr	3	0	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1
Ich hätte 1.000 € gespendet, wenn ich die Gedanken von Jürgen von der Lippe als Untertitel gehabt hätte 🤭🥴😜😂😂😂	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	2
Bei uns auch nicht gesellschaftlich nicht machbar , drehen zu viel dabei durch weil wir viele Leute mit noch anderen sozialen Problemen haben . Ist mir heute definitiv aufgefallen da brodelt noch was ganz anderes und es nicht gut.  	2	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Marcus Herrmann Niebüll -Sylt😂	3	0	0	0	0	1	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Bei mir ähnlich - wir sind auch schon 6 Monate im Homeoffice - mega 👍😍	1	3	3	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	2
Frida Kahlo Ja, genau. Alles fake news. Auch die Zahlen aus dem Pentagon. Furchtbar. Deep state und so. Alles Reptiloide...😂	1	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	0	2
Heike, Sebastian 😂😂😂😂😂	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
WDR Lokalzeit Ruhr ..😍	3	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Da sieht man mal wieder, wie intelligenzbefreit die verbrauchten Bundesländer doch eigentlich sind! Im revolutionären Sachsen selbstverständlich kein Thema!	1	3	3	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0
Wer soll diesen Fake glauben . Ergebnis einer Wahlmanipulation, dann stimmt es	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Natürlich ist das Sozialismus, wenn alle genötigt sind, in einen Topf zu latzen, aus dem dann jeder bedient wird.Sogar die, die nie eingezahlt haben.	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Joerg Laube Da sind doch auch die Linken in der Graphik zu sehen und wie massiv deren Terror zurückging. Wie gut sich das entwickelt hat. Und das wir dieses Ansprung beim Rechtsextremismus sehen ist besorgniserregend!	3	3	3	0	0	3	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Versagen der Polizei in voller Fülle ! Das fällt mir dazu ein !	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Wasser läuft wieder immer schön klein beigeben, der Steuerzahler macht das schon.	3	3	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1
Imad Kh Was wollen Sie damit sagen!? Ich lese hier nur von einem Mörder - einem rechtsradikalen deutschen Terroristen, der (jüdische) Deutsche ermorden wollte und deutsche Passanten ermordet hat!	3	3	3	0	0	0	3	0	0	3	1	3	0	0	0	1	0	0	0	0	0	0	0	0	2
Manchmal bekommt man den Eindruck, dass der ein oder andere Mitarbeiter des WDR den ganzen Tag auf Facebook herumsurft. Insbesondere, wenn man sich im Chat kritisch zu den Themen wie Migration, Klimawandel und Corona äußert, sind die Mitarbeiter schnell zur Stelle.	3	3	1	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2
O Sie macht sich sorgen Rest will und möchte ich nicht weiter schreiben und.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Er hat aber kein Krieg angefangen, und in Nahost Friedensverträge abgeschlossen.....weitere folgen wohl.	2	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bullet for Trump..🥳🥳	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	0	0	3	3	0
Warum nicht Jochen Riemer ?	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4
Nein danke die armen freuen werden immer Schlag in die fresse gedroht	1	0	3	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2
Heinrich Podo Naja bei dem Finanzminister ist das auch nicht schwierig	2	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0
Yvonne Beck Und du hast schon hunderte Menschen beraubt in deinem Leben aus Geldgier. (Nicht nur du kannst Menschen was unterstellen.)	1	1	1	0	0	0	0	0	0	3	0	3	3	3	0	0	0	0	3	3	0	0	0	0	2
Nicht anders zu erwarten, schwachsinnige Politik	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Es ist zum kotzen. Jeder Hampelmann weiß alles besser.	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
"Ich sag nur ""LSD"" 🤔🤦🏼‍♂️🤣😂"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	3	0	0	0	0	0	0
der gleichen Meinung bin ich auch und diese Dame sollte nun nicht in allen Sendung sich wichtig machen,es gibt Krebserkrankte die mehr durchgemacht haben und die sich nicht in jede Sendung setzten.	2	0	3	3	1	0	0	0	2	3	1	3	0	0	0	0	0	0	3	0	0	0	0	0	2
Der öffentlich-rechtlicher Rundfunk ist im Grunde genommen eine Pensionskasse mit angeschlossenem Sendebetrieb.	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	3	0	0	0	1
Ich würde sagen ,ja ! Mein Sohn ist auf der Gesamtschule also mit mehr als 1300 Schüler bisher alles gut zum Glück!	3	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
"Hart aber nicht fair,..wie immer übelst tendenziös."" Die AFD ist heute nicht das Thema "" -trotzdem wird die Diskussion immer wieder dorthin gelenkt und dann wird kräftig von allen Seiten gebasht !!!"	3	3	3	0	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	1
Aus welchem Jahr ist das Bild?	3	0	0	0	0	0	3	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2
